FIPS,County,State,Total,Under 18,18 to 64,Over 64,White,Black,AIAN,Asian,NHOPI,Hispanic,Other_Races,Below 9th grade,High School,College,Advanced Degree,Urban_Percentage
17155,Putnam County,Illinois,5600,0.1969642857142857,0.5644642857142858,0.23857142857142857,0.9035714285714286,0.0023214285714285715,0.00017857142857142857,0.0064285714285714285,0.0,0.06410714285714286,0.023392857142857142,0.009922555663117135,0.8918199419167473,0.2456437560503388,0.08470474346563407,0.0
17157,Randolph County,Illinois,30142,0.20363612235419018,0.5881494260500298,0.20821445159577998,0.8583040276026807,0.07872735717603344,0.0008294074713025015,0.006369849379603211,0.00046446818392940084,0.03629487094419746,0.019010019242253335,0.03576669112252384,0.7969552457813647,0.14210381511371972,0.047780630961115185,0.21012498756755
17159,Richland County,Illinois,15675,0.23036682615629983,0.5647846889952153,0.20484848484848484,0.9365231259968102,0.0029346092503987242,0.0005103668261562999,0.0027432216905901117,0.0003189792663476874,0.01901116427432217,0.0379585326953748,0.021243475872172877,0.8610017397674206,0.18862741507187986,0.06373042761651863,0.546512363245431
17161,Rock Island County,Illinois,142995,0.22534354348054128,0.574013077380328,0.20064337913913075,0.6849190531137452,0.10408056225742159,0.000776250917864261,0.0252526312108815,0.000349662575614532,0.13995594251547258,0.044665897409000316,0.034243297457463164,0.8472135954953212,0.24063985989064138,0.09006302884664338,0.884559555408095
17163,St. Clair County,Illinois,254777,0.23285853903609824,0.5994497148486716,0.1676917461152302,0.5946886885393894,0.2780510014640254,0.0022411756163232947,0.015429179243024291,0.00020017505504814015,0.04945501360012874,0.05993476648206078,0.02405384214773397,0.8789123977726017,0.30743477190914137,0.13177247572009868,0.858442113442113
17165,Saline County,Illinois,23387,0.20896224398169924,0.5819472356437337,0.20909052037456707,0.9165775858382862,0.0279642536451875,0.000855175952452217,0.007440030786334288,0.0004703467738487194,0.020780775644588873,0.025911831359302178,0.04374633000587199,0.8214914856136231,0.202348796241926,0.057721667645331765,0.348493773140357
17167,Sangamon County,Illinois,195217,0.2201652520016187,0.5908911621426413,0.18894358585574003,0.7809975565652582,0.12468688690021873,0.0005276179840895004,0.021089351849480322,0.000163920150396738,0.027922773119144338,0.044611893431412225,0.01694171669238025,0.8956296659184136,0.3511987891461872,0.1417488648245505,0.811157005852004
17169,Schuyler County,Illinois,6826,0.17286844418400235,0.5755933196601231,0.2515382361558746,0.9065338411954292,0.04438910049809552,0.0,0.006592440668033987,0.0,0.02475827717550542,0.017726340462935832,0.024796517130418323,0.8430815824342229,0.1892863903085368,0.06284308158243422,0.0
17171,Scott County,Illinois,4847,0.21415308438209202,0.579533732205488,0.20631318341242005,0.9566742314833918,0.010521972354033423,0.0008252527336496802,0.004332576851660821,0.0,0.014648236022281824,0.012997730554982464,0.013981939994174191,0.8875618992135159,0.2222545878240606,0.045441304981066126,0.0
17173,Shelby County,Illinois,20867,0.21363875976422103,0.5515886327694446,0.2347726074663344,0.9630037858820146,0.0011501413715435855,0.004073417357550199,0.0028753534288589637,0.000479225571476494,0.011549336272583505,0.01686874011597259,0.016788321167883213,0.8978102189781022,0.1759124087591241,0.04426011944260119,0.234587898999524
17175,Stark County,Illinois,5324,0.2165664913598798,0.5550338091660406,0.22839969947407965,0.9226145755071374,0.010330578512396695,0.0007513148009015778,0.0067618332081141996,0.0,0.025169045830202855,0.034372652141247184,0.024551214361140442,0.8434530095036958,0.19271383315733898,0.044086589229144664,0.0
